check_id,pass,detail
execution_accuracy_iteration_budget,1,Every accuracy run completed exactly 100 products
execution_timing_iteration_budget,1,Every timing run completed exactly 100 products
execution_no_breakdown,1,No method reported numerical breakdown
execution_no_memory_stop,1,No method reached the two GiB basis safeguard
execution_no_rank_cap,1,No deterministic or randomized rank cap became active
execution_finite_metrics,1,All primary residual and timing metrics are finite
execution_positive_preconditioner,1,The rank one preconditioner is positive at every grid
design_accuracy_run_count,1,Observed 36 of 36 planned accuracy runs
design_timing_run_count,1,Observed 48 of 48 planned timing runs
execution_timing_reproducibility,1,Maximum closure 2.285e-16 and endpoint drift 0.000e+00
